buscoID	query_chr	position	assigned_chr
0at6231	Bm_v4_ChrX_scaffold_001	5137885.5	D
6at6231	Bm_v4_Chr4_scaffold_001	12115536.5	E
7at6231	Bm_v4_Chr1_scaffold_001	12990533.0	C
9at6231	Bm_v4_Chr1_scaffold_001	6118748.5	C
18at6231	Bm_v4_Chr3_scaffold_001	9818247.5	A
19at6231	Bm_v4_Chr4_scaffold_001	2918017.0	E
20at6231	Bm_v4_Chr2_contig_001	8379763.0	B
22at6231	Bm_v4_Chr3_scaffold_001	3479336.0	A
23at6231	Bm_v4_Chr1_scaffold_001	3351988.0	C
25at6231	Bm_v4_ChrX_scaffold_001	6650168.0	X
28at6231	Bm_v4_Chr1_scaffold_001	6460795.5	C
29at6231	Bm_v4_ChrX_scaffold_001	731239.0	D
31at6231	Bm_v4_Chr4_scaffold_001	5649322.5	E
32at6231	Bm_v4_ChrX_scaffold_001	16280730.0	N
35at6231	Bm_v4_Chr4_scaffold_001	5197939.5	E
39at6231	Bm_v4_ChrX_scaffold_001	12403659.5	N
40at6231	Bm_v4_Chr4_scaffold_001	7592165.0	E
43at6231	Bm_v4_Chr3_scaffold_001	10460351.0	A
48at6231	Bm_v4_Chr3_scaffold_001	6359926.5	A
55at6231	Bm_v4_Chr1_scaffold_001	9451037.5	C
57at6231	Bm_v4_Chr3_scaffold_001	7313509.0	A
60at6231	Bm_v4_ChrX_scaffold_001	10734364.0	D
63at6231	Bm_v4_ChrX_scaffold_001	4771343.5	D
65at6231	Bm_v4_Chr2_contig_001	1017417.0	B
67at6231	Bm_v4_ChrX_scaffold_001	3050415.5	X
68at6231	Bm_v4_Chr3_scaffold_001	13763761.0	A
72at6231	Bm_v4_Chr1_scaffold_001	11626495.5	C
74at6231	Bm_v4_Chr3_scaffold_001	5371583.0	A
76at6231	Bm_v4_Chr3_scaffold_001	7048139.0	A
86at6231	Bm_v4_ChrX_scaffold_001	1529747.5	X
88at6231	Bm_v4_Chr4_scaffold_001	7950976.0	E
91at6231	Bm_v4_ChrX_scaffold_001	5395618.0	D
92at6231	Bm_v4_Chr1_scaffold_001	1977959.0	C
96at6231	Bm_v4_ChrX_scaffold_001	118507.0	D
100at6231	Bm_v4_Chr2_contig_001	4078726.0	B
101at6231	Bm_v4_ChrX_scaffold_001	24811774.0	N
107at6231	Bm_v4_Chr2_contig_001	6015816.0	B
112at6231	Bm_v4_ChrX_scaffold_001	19264478.5	N
117at6231	Bm_v4_Chr3_scaffold_001	11032695.5	A
119at6231	Bm_v4_Chr1_scaffold_001	8884510.5	C
121at6231	Bm_v4_Chr3_scaffold_001	2741084.5	A
125at6231	Bm_v4_Chr4_scaffold_001	3566319.0	E
127at6231	Bm_v4_ChrX_scaffold_001	14765195.5	N
131at6231	Bm_v4_Chr2_contig_001	7682852.0	B
132at6231	Bm_v4_Chr1_scaffold_001	8530858.0	C
137at6231	Bm_v4_Chr1_scaffold_001	661986.0	C
