buscoID	query_chr	position	assigned_chr
0at6231	OVOC_OM2	8095527.0	D
6at6231	OVOC_OM2	22816944.5	E
7at6231	OVOC_OM3	98905.5	C
9at6231	OVOC_OM3	8944724.0	C
18at6231	OVOC_OM1b	3566078.0	A
19at6231	OVOC_OM2	14332479.0	E
20at6231	OVOC_OM4	8750195.0	B
22at6231	OVOC_OM1b	1940611.5	A
23at6231	OVOC_OM3	13118740.0	C
25at6231	OVOC_OM2	6327239.5	X
28at6231	OVOC_OM3	9366639.0	C
29at6231	OVOC_OM2	12857859.5	D
31at6231	OVOC_OM2	18969506.5	E
32at6231	OVOC_OM1b	25481744.0	N
35at6231	OVOC_OM2	19520967.0	E
39at6231	OVOC_OM1b	25879612.0	N
40at6231	OVOC_OM2	21399192.5	E
43at6231	OVOC_OM1b	12832627.0	A
48at6231	OVOC_OM1b	11240732.5	A
55at6231	OVOC_OM3	8509034.0	C
57at6231	OVOC_OM1b	7426728.0	A
60at6231	OVOC_OM2	2113102.0	D
63at6231	OVOC_OM2	8542515.0	D
65at6231	OVOC_OM4	15186084.5	B
67at6231	OVOC_OM2	10430843.0	X
68at6231	OVOC_OM1b	10498430.0	A
72at6231	OVOC_OM3	2680372.0	C
74at6231	OVOC_OM1a	2643413.0	A
76at6231	OVOC_OM1b	7128022.0	A
86at6231	OVOC_OM2	11958188.0	X
91at6231	OVOC_OM2	7807833.0	D
92at6231	OVOC_OM3	12429882.5	C
96at6231	OVOC_OM2	12318385.0	D
100at6231	OVOC_OM4	12007472.0	B
101at6231	OVOC_OM1b	16831993.0	N
107at6231	OVOC_OM4	2655097.5	B
112at6231	OVOC_OM1b	19873544.5	N
117at6231	OVOC_OM1b	9083377.0	A
119at6231	OVOC_OM3	6598724.5	C
121at6231	OVOC_OM1a	1924650.5	A
125at6231	OVOC_OM2	15114190.0	E
127at6231	OVOC_OM1b	28177003.0	N
131at6231	OVOC_OM4	9569467.5	B
132at6231	OVOC_OM3	6968589.0	C
137at6231	OVOC_OM3	16373642.0	C
139at6231	OVOC_OM2	753736.0	X
144at6231	OVOC_OM1b	25429415.0	N
146at6231	OVOC_OM4	10287663.0	B
147at6231	OVOC_OM1b	26853315.0	N
149at6231	OVOC_OM4	4490488.5	B
151at6231	OVOC_OM3	1102087.5	C
152at6231	OVOC_OM4	9800665.0	B
161at6231	OVOC_OM4	4439536.0	B
