buscoID	query_chr	position	assigned_chr
0at6231	SUPER_X	4411174.5	D
6at6231	SUPER_5	8240095.5	E
7at6231	SUPER_2	5785206.0	C
9at6231	SUPER_2	6872008.5	C
18at6231	SUPER_1	6180854.0	A
19at6231	SUPER_5	703494.0	E
20at6231	SUPER_3	5539296.5	B
22at6231	SUPER_1	8830267.5	A
23at6231	SUPER_2	3750752.5	C
25at6231	SUPER_X	5794544.5	X
28at6231	SUPER_2	3106778.0	C
29at6231	SUPER_X	477117.0	D
31at6231	SUPER_5	4350351.0	E
32at6231	SUPER_4	1370522.0	N
35at6231	SUPER_5	4753327.5	E
39at6231	SUPER_4	67333.0	N
40at6231	SUPER_5	5627063.5	E
43at6231	SUPER_1	367306.0	A
48at6231	SUPER_1	3226188.5	A
55at6231	SUPER_2	6584016.0	C
57at6231	SUPER_1	4729807.0	A
60at6231	SUPER_X	9371488.5	D
63at6231	SUPER_X	4057588.0	D
65at6231	SUPER_3	601787.0	B
68at6231	SUPER_1	2238058.0	A
72at6231	SUPER_2	10434836.0	C
74at6231	SUPER_1	7298677.0	A
76at6231	SUPER_1	3803015.0	A
86at6231	SUPER_X	1210286.5	X
88at6231	SUPER_5	6999189.0	E
91at6231	SUPER_X	4652774.0	D
92at6231	SUPER_2	4679692.0	C
96at6231	SUPER_X	982502.0	D
100at6231	SUPER_3	2605249.5	B
101at6231	SUPER_4	7787532.0	N
107at6231	SUPER_3	7193059.0	B
112at6231	SUPER_4	6821214.0	N
117at6231	SUPER_1	2739531.0	A
119at6231	SUPER_2	7326117.5	C
121at6231	SUPER_1	7767854.5	A
125at6231	SUPER_5	1245343.5	E
127at6231	SUPER_4	1123343.5	N
131at6231	SUPER_3	6587462.5	B
132at6231	SUPER_2	7648745.5	C
137at6231	SUPER_2	176263.5	C
139at6231	SUPER_X	10305222.5	X
144at6231	SUPER_4	2877212.0	N
146at6231	SUPER_3	3920317.5	B
147at6231	SUPER_4	2027198.0	N
149at6231	SUPER_3	9731664.0	B
151at6231	SUPER_2	11496842.0	C
152at6231	SUPER_3	4683100.0	B
161at6231	SUPER_3	9766438.5	B
165at6231	SUPER_X	2535411.0	X
166at6231	SUPER_2	2325829.0	C
170at6231	SUPER_X	3755499.0	D
172at6231	SUPER_4	2617887.0	D
174at6231	SUPER_2	4841072.5	C
175at6231	SUPER_1	911490.0	A
181at6231	SUPER_3	2049201.5	B
183at6231	SUPER_2	4739812.0	C
184at6231	SUPER_3	92547.5	B
185at6231	SUPER_2	7267359.0	C
189at6231	SUPER_4	2152270.0	N
190at6231	SUPER_3	343503.5	B
194at6231	SUPER_5	2690644.5	D
196at6231	SUPER_2	342658.0	C
197at6231	SUPER_3	4468904.0	B
198at6231	SUPER_4	6616926.0	N
199at6231	SUPER_2	10677919.5	C
201at6231	SUPER_3	4871662.0	B
210at6231	SUPER_2	8715963.0	C
211at6231	SUPER_2	9697506.5	C
216at6231	SUPER_1	9284950.5	A
217at6231	SUPER_5	6657560.5	E
219at6231	SUPER_3	4269490.0	B
232at6231	SUPER_4	7136975.5	N
233at6231	SUPER_1	6021965.5	D
238at6231	SUPER_1	10728719.0	A
241at6231	SUPER_1	2542720.0	A
243at6231	SUPER_X	783942.0	D
252at6231	SUPER_X	4718745.5	X
255at6231	SUPER_2	7474102.5	C
265at6231	SUPER_2	4150777.0	C
267at6231	SUPER_2	9073456.5	C
270at6231	SUPER_5	9759314.0	E
271at6231	SUPER_1	3990712.0	A
279at6231	SUPER_2	8656626.5	C
286at6231	SUPER_5	2940427.0	E
287at6231	SUPER_5	8787158.0	E
288at6231	SUPER_1	6461441.0	A
293at6231	SUPER_2	11030047.0	C
294at6231	SUPER_4	2837108.0	A
299at6231	SUPER_2	2238070.0	C
300at6231	SUPER_2	5290025.5	C
301at6231	SUPER_X	8654995.0	D
302at6231	SUPER_3	9475766.0	B
311at6231	SUPER_4	7051024.5	N
318at6231	SUPER_1	7609204.0	A
319at6231	SUPER_3	6427397.0	B
322at6231	SUPER_4	111098.0	N
323at6231	SUPER_X	5345780.0	D
327at6231	SUPER_1	5841604.5	A
333at6231	SUPER_1	4947530.5	A
334at6231	SUPER_2	3350342.5	C
